-----------------COUNT WORDS-------------------
-----------------------------------------------
820626 words be counted!Details are as follow:
no.              word       time      frequency
 7629      destructionMat       2    0.000244%
 7630      destructionLev       2    0.000244%
 7631      destructionLam       2    0.000244%
 7632       destructionKi       2    0.000244%
 7633            troasAct       2    0.000244%
 7634               doMak       2    0.000244%
 7635               doJos       2    0.000244%
 7636          trickedMat       2    0.000244%
 7637               doGal       2    0.000244%
 7638               doEzr       2    0.000244%
 7639               doEst       2    0.000244%
 7640            tricking       2    0.000244%
 7641               doCol       2    0.000244%
 7642        divisionsJos       2    0.000244%
 7643             trueRev       2    0.000244%
 7644         distanceLuk       2    0.000244%
 7645          troubleJer       2    0.000244%
 7646          disgustLev       2    0.000244%
 7647          troubleOba       2    0.000244%
 7648           troubleTi       2    0.000244%
 7649          diseasePsm       2    0.000244%
 7650          diseaseNum       2    0.000244%
 7651          diseaseLuk       2    0.000244%
 7652           diseaseKi       2    0.000244%
 7653        decisionsIsa       2    0.000244%
 7654           twentyEzr       2    0.000244%
 7655      twentyeightEzr       2    0.000244%
 7656           delighted       2    0.000244%
 7657             degrees       2    0.000244%
 7658        twentyoneNeh       2    0.000244%
 7659        twentysecond       2    0.000244%
 7660           twentysix       2    0.000244%
 7661             dedanCh       2    0.000244%
 7662         decisionsKi       2    0.000244%
 7663            twentyCh       2    0.000244%
 7664        twentytwoEzr       2    0.000244%
 7665        twentytwoNeh       2    0.000244%
 7666          twistedPro       2    0.000244%
 7667           deceitJob       2    0.000244%
 7668           deceitJer       2    0.000244%
 7669           deceitIsa       2    0.000244%
 7670           deceitHos       2    0.000244%
 7671           decapolis       2    0.000244%
 7672             debtRom       2    0.000244%
 7673           desireMat       2    0.000244%
 7674      destructionHos       2    0.000244%
 7675      destructionEze       2    0.000244%
 7676      destructionEcc       2    0.000244%
 7677      destructionDeu       2    0.000244%
 7678          desiresRom       2    0.000244%
 7679          desiresRev       2    0.000244%
 7680          desiresPsm       2    0.000244%
 7681            tubalEze       2    0.000244%
 7682           tubalcain       2    0.000244%
 7683               doRom       2    0.000244%
 7684          turningEze       2    0.000244%
 7685           twelveEzr       2    0.000244%
 7686           twelveLuk       2    0.000244%
 7687          designsPsm       2    0.000244%
 7688          designsPro       2    0.000244%
 7689          designsJob       2    0.000244%
 7690          designsGen       2    0.000244%
 7691           designsCo       2    0.000244%
 7692         designerExo       2    0.000244%
 7693              dryPsm       2    0.000244%
 7694             earsRev       2    0.000244%
 7695             earsMat       2    0.000244%
 7696             earsAct       2    0.000244%
 7697              earExo       2    0.000244%
 7698            eagleEze       2    0.000244%
 7699           tongueJob       2    0.000244%
 7700             dustLuk       2    0.000244%
 7701             dustLam       2    0.000244%
 7702             dustEze       2    0.000244%
 7703          tonguesExo       2    0.000244%
 7704            earthEcc       2    0.000244%
 7705          tonguesPsm       2    0.000244%
 7706              dryIsa       2    0.000244%
 7707              dryGen       2    0.000244%
 7708                drop       2    0.000244%
 7709     drinkingvessels       2    0.000244%
 7710      drinkingplaces       2    0.000244%
 7711            drinkJhn       2    0.000244%
 7712            drinkIsa       2    0.000244%
 7713            drinkEze       2    0.000244%
 7714             eastGen       2    0.000244%
 7715            edreiDeu       2    0.000244%
 7716             edomPsm       2    0.000244%
 7717            todayAct       2    0.000244%
 7718             edgeJer       2    0.000244%
 7719             edgeEze       2    0.000244%
 7720            todayLuk       2    0.000244%
 7721            togarmah       2    0.000244%
 7722             eberGen       2    0.000244%
 7723             eastNum       2    0.000244%
 7724            drinkExo       2    0.000244%
 7725            earthRom       2    0.000244%
 7726            earthPro       2    0.000244%
 7727             earthPe       2    0.000244%
 7728         togetherJhn       2    0.000244%
 7729            earthJug       2    0.000244%
 7730            earthJos       2    0.000244%
 7731            earthJhn       2    0.000244%
 7732         togetherJug       2    0.000244%
 7733            earthEph       2    0.000244%
 7734               trays       2    0.000244%
 7735         townspeople       2    0.000244%
 7736          doorwayEst       2    0.000244%
 7737            doorsJer       2    0.000244%
 7738         doorpillars       2    0.000244%
 7739         trainingPro       2    0.000244%
 7740          doorkeeper       2    0.000244%
 7741             doorMak       2    0.000244%
 7742             doorJob       2    0.000244%
 7743             doorEze       2    0.000244%
 7744              dorcas       2    0.000244%
 7745             doneJos       2    0.000244%
 7746             treeAct       2    0.000244%
 7747             treeDeu       2    0.000244%
 7748             treeGen       2    0.000244%
 7749             treeJob       2    0.000244%
 7750              treeSa       2    0.000244%
 7751              dogsKi       2    0.000244%
 7752            tribeJos       2    0.000244%
 7753               doers       2    0.000244%
 7754             townMak       2    0.000244%
 7755             drinkCo       2    0.000244%
 7756            dreamers       2    0.000244%
 7757             townEcc       2    0.000244%
 7758             townEst       2    0.000244%
 7759               drain       2    0.000244%
 7760             dragons       2    0.000244%
 7761         downfallPsm       2    0.000244%
 7762         downfallPro       2    0.000244%
 7763             townLam       2    0.000244%
 7764             debtJob       2    0.000244%
 7765             downMat       2    0.000244%
 7766              downKi       2    0.000244%
 7767             downEze       2    0.000244%
 7768             townRev       2    0.000244%
 7769            dovesMat       2    0.000244%
 7770            doubtMat       2    0.000244%
 7771            townsLuk       2    0.000244%
 7772            townsMat       2    0.000244%
 7773            townsNeh       2    0.000244%
 7774        countriesIsa       2    0.000244%
 7775               upPro       2    0.000244%
 7776              upkeep       2    0.000244%
 7777            coverJob       2    0.000244%
 7778                upon       2    0.000244%
 7779           uprightCh       2    0.000244%
 7780           countrySa       2    0.000244%
 7781          countryMat       2    0.000244%
 7782          countryLev       2    0.000244%
 7783          countryJos       2    0.000244%
 7784          countryEze       2    0.000244%
 7785                upPe       2    0.000244%
 7786              cotton       2    0.000244%
 7787            cordsJob       2    0.000244%
 7788            cordsExo       2    0.000244%
 7789             cordPro       2    0.000244%
 7790              corals       2    0.000244%
 7791               coral       2    0.000244%
 7792                cook       2    0.000244%
 7793          controlGen       2    0.000244%
 7794               usEph       2    0.000244%
 7795             crossCo       2    0.000244%
 7796       crushingfloor       2    0.000244%
 7797              unwell       2    0.000244%
 7798           unwisePro       2    0.000244%
 7799          cruellyAct       2    0.000244%
 7800          crossroads       2    0.000244%
 7801            crossing       2    0.000244%
 7802               upEcc       2    0.000244%
 7803               upEze       2    0.000244%
 7804               upGen       2    0.000244%
 7805               usEze       2    0.000244%
 7806             crispus       2    0.000244%
 7807               upJoe       2    0.000244%
 7808            cracking       2    0.000244%
 7809               upLev       2    0.000244%
 7810               cozbi       2    0.000244%
 7811              covers       2    0.000244%
 7812               upMak       2    0.000244%
 7813          coveredPsm       2    0.000244%
 7814               upNeh       2    0.000244%
 7815           uzzielNum       2    0.000244%
 7816                uses       2    0.000244%
 7817             comesCo       2    0.000244%
 7818              comeTs       2    0.000244%
 7819              comeTi       2    0.000244%
 7820               uthai       2    0.000244%
 7821                uzal       2    0.000244%
 7822             comeGen       2    0.000244%
 7823             comeEze       2    0.000244%
 7824             comeDeu       2    0.000244%
 7825           comfortCh       2    0.000244%
 7826            colhozeh       2    0.000244%
 7827             coldPsm       2    0.000244%
 7828           valleyJos       2    0.000244%
 7829             valueCo       2    0.000244%
 7830            valueLev       2    0.000244%
 7831            valueMal       2    0.000244%
 7832             veilExo       2    0.000244%
 7833             veilLev       2    0.000244%
 7834         clothingJob       2    0.000244%
 7835         completeHeb       2    0.000244%
 7836               usHos       2    0.000244%
 7837          completing       2    0.000244%
 7838       completelyPsm       2    0.000244%
 7839               usJhn       2    0.000244%
 7840                usKi       2    0.000244%
 7841         completeRev       2    0.000244%
 7842               usLam       2    0.000244%
 7843         completeJos       2    0.000244%
 7844         completeJer       2    0.000244%
 7845           unveiling       2    0.000244%
 7846               usMic       2    0.000244%
 7847          completeCo       2    0.000244%
 7848                usTi       2    0.000244%
 7849              useJer       2    0.000244%
 7850           comingEze       2    0.000244%
 7851              usedCh       2    0.000244%
 7852        comfortedPsm       2    0.000244%
 7853        comfortedIsa       2    0.000244%
 7854          comfortJob       2    0.000244%
 7855            davidPsm       2    0.000244%
 7856              dayPro       2    0.000244%
 7857               dayPe       2    0.000244%
 7858               dayCo       2    0.000244%
 7859          uncleanExo       2    0.000244%
 7860          uncleanGen       2    0.000244%
 7861          uncleanHag       2    0.000244%
 7862          uncleanHos       2    0.000244%
 7863             dawnJob       2    0.000244%
 7864          uncleanJer       2    0.000244%
 7865          uncleanMat       2    0.000244%
 7866               dayTi       2    0.000244%
 7867            davidIsa       2    0.000244%
 7868            davidAct       2    0.000244%
 7869     daughtertownsCh       2    0.000244%
 7870        daughtersJob       2    0.000244%
 7871        daughtersJer       2    0.000244%
 7872        daughtersEze       2    0.000244%
 7873         daughterMak       2    0.000244%
 7874         daughterGen       2    0.000244%
 7875         daughterEze       2    0.000244%
 7876             deadExo       2    0.000244%
 7877              twoPsm       2    0.000244%
 7878            deathPhl       2    0.000244%
 7879            deathJob       2    0.000244%
 7880            deathJas       2    0.000244%
 7881            deathDan       2    0.000244%
 7882             deadRev       2    0.000244%
 7883             deadNum       2    0.000244%
 7884             deadJas       2    0.000244%
 7885             deadGen       2    0.000244%
 7886              darkon       2    0.000244%
 7887             daysNeh       2    0.000244%
 7888             daysMat       2    0.000244%
 7889             daysMak       2    0.000244%
 7890             daysLuk       2    0.000244%
 7891             daysJos       2    0.000244%
 7892             daysJer       2    0.000244%
 7893          uncaredfor       2    0.000244%
 7894         uncertainly       2    0.000244%
 7895             daysExo       2    0.000244%
 7896           cursedNum       2    0.000244%
 7897             cypress       2    0.000244%
 7898           unholyEze       2    0.000244%
 7899         unimportant       2    0.000244%
 7900              cutNum       2    0.000244%
 7901               cushi       2    0.000244%
 7902    cushanrishathaim       2    0.000244%
 7903          unmeasured       2    0.000244%
 7904                unni       2    0.000244%
 7905              curser       2    0.000244%
 7906        cypresstrees       2    0.000244%
 7907             curseSa       2    0.000244%
 7908            curseNum       2    0.000244%
 7909            curseJos       2    0.000244%
 7910           unresting       2    0.000244%
 7911             current       2    0.000244%
 7912              cummin       2    0.000244%
 7913            cubitsKi       2    0.000244%
 7914              cryMak       2    0.000244%
 7915              unused       2    0.000244%
 7916           dangerIsa       2    0.000244%
 7917             darkest       2    0.000244%
 7918             darkRom       2    0.000244%
 7919        uncoveredIsa       2    0.000244%
 7920             darkLuk       2    0.000244%
 7921             darkJhn       2    0.000244%
 7922             darkIsa       2    0.000244%
 7923             darkExo       2    0.000244%
 7924          undergoMak       2    0.000244%
 7925           dangerPsm       2    0.000244%
 7926           effectEze       2    0.000244%
 7927              danGen       2    0.000244%
 7928       underworldGen       2    0.000244%
 7929               undid       2    0.000244%
 7930           damageLuk       2    0.000244%
 7931              undoes       2    0.000244%
 7932          unequalEze       2    0.000244%
 7933            unfolded       2    0.000244%
 7934           cyprusAct       2    0.000244%
 7935       cypresswoodKi       2    0.000244%
 7936             themJon       2    0.000244%
 7937            feastday       2    0.000244%
 7938            feastLuk       2    0.000244%
 7939            feastGen       2    0.000244%
 7940            fearsJob       2    0.000244%
 7941             themGal       2    0.000244%
 7942             themHab       2    0.000244%
 7943             fearPro       2    0.000244%
 7944             fearNeh       2    0.000244%
 7945             fearEze       2    0.000244%
 7946             fearDan       2    0.000244%
 7947           theirsMat       2    0.000244%
 7948           fathersSa       2    0.000244%
 7949          fathersRom       2    0.000244%
 7950          fathersPsm       2    0.000244%
 7951          fathersLev       2    0.000244%
 7952             themMic       2    0.000244%
 7953          fathersGen       2    0.000244%
 7954              themPe       2    0.000244%
 7955           fatherRev       2    0.000244%
 7956           fatherPsm       2    0.000244%
 7957             feetExo       2    0.000244%
 7958            fieldEze       2    0.000244%
 7959            fieldDeu       2    0.000244%
 7960          fertileLuk       2    0.000244%
 7961           femaleLev       2    0.000244%
 7962           femaleGen       2    0.000244%
 7963            felixAct       2    0.000244%
 7964             thatExo       2    0.000244%
 7965             thatEze       2    0.000244%
 7966             feetHeb       2    0.000244%
 7967           fatherPro       2    0.000244%
 7968             feetDan       2    0.000244%
 7969              feetCh       2    0.000244%
 7970          feelingEze       2    0.000244%
 7971       feeblehearted       2    0.000244%
 7972           feebleJer       2    0.000244%
 7973           theirsDeu       2    0.000244%
 7974           feebleDeu       2    0.000244%
 7975            feebleCo       2    0.000244%
 7976           theirsHeb       2    0.000244%
 7977            faithLuk       2    0.000244%
 7978            falseJhn       2    0.000244%
 7979            falseIsa       2    0.000244%
 7980            thereEzr       2    0.000244%
 7981            thereJos       2    0.000244%
 7982              falcon       2    0.000244%
 7983            faithPro       2    0.000244%
 7984            faithPhl       2    0.000244%
 7985             faithPe       2    0.000244%
 7986            faithMat       2    0.000244%
 7987            falsePsm       2    0.000244%
 7988            faithJer       2    0.000244%
 7989            faithDeu       2    0.000244%
 7990             faithCo       2    0.000244%
 7991            thereZec       2    0.000244%
 7992             faceJer       2    0.000244%
 7993       thessalonians       2    0.000244%
 7994             faceExo       2    0.000244%
 7995             faceDan       2    0.000244%
 7996          ezrahitegt       2    0.000244%
 7997         farthingLuk       2    0.000244%
 7998           fatherNum       2    0.000244%
 7999           fatherMat       2    0.000244%
 8000           fatherJug       2    0.000244%
 8001       themselvesExo       2    0.000244%
 8002             fateJug       2    0.000244%
 8003       themselvesEze       2    0.000244%
 8004             fateIsa       2    0.000244%
 8005             fateEze       2    0.000244%
 8006       themselvesIsa       2    0.000244%
 8007            fieldGen       2    0.000244%
 8008        themselvesKi       2    0.000244%
 8009              farmed       2    0.000244%
 8010       themselvesRom       2    0.000244%
 8011            familyKi       2    0.000244%
 8012           familyGen       2    0.000244%
 8013           familyExo       2    0.000244%
 8014           familyAct       2    0.000244%
 8015            theories       2    0.000244%
 8016            falseRev       2    0.000244%
 8017           telharsha       2    0.000244%
 8018            teethJob       2    0.000244%
 8019            fleshDan       2    0.000244%
 8020               tekel       2    0.000244%
 8021             tekoaCh       2    0.000244%
 8022             tekoite       2    0.000244%
 8023            tekoites       2    0.000244%
 8024            flagsSon       2    0.000244%
 8025             flagNum       2    0.000244%
 8026             fixedly       2    0.000244%
 8027               telem       2    0.000244%
 8028            fleshGen       2    0.000244%
 8029            telmelah       2    0.000244%
 8030              fiveCh       2    0.000244%
 8031             fitches       2    0.000244%
 8032          fishingnet       2    0.000244%
 8033           temanites       2    0.000244%
 8034           fishesMat       2    0.000244%
 8035           fishesMak       2    0.000244%
 8036             fishers       2    0.000244%
 8037           templeAct       2    0.000244%
 8038          teacherIsa       2    0.000244%
 8039            floorJhn       2    0.000244%
 8040           flocksJer       2    0.000244%
 8041           flocksIsa       2    0.000244%
 8042            flockPsm       2    0.000244%
 8043        taxfarmerLuk       2    0.000244%
 8044              taxing       2    0.000244%
 8045            flockExo       2    0.000244%
 8046            flockDeu       2    0.000244%
 8047           flightZec       2    0.000244%
 8048           templeJer       2    0.000244%
 8049           flightPsm       2    0.000244%
 8050           flightMat       2    0.000244%
 8051           flightJer       2    0.000244%
 8052           flightGen       2    0.000244%
 8053          teachingCo       2    0.000244%
 8054            fliesExo       2    0.000244%
 8055            fleshRev       2    0.000244%
 8056               tebah       2    0.000244%
 8057            fleshJer       2    0.000244%
 8058           fiftyfive       2    0.000244%
 8059             tentsCh       2    0.000244%
 8060            fightZec       2    0.000244%
 8061            fightJug       2    0.000244%
 8062            tentsJos       2    0.000244%
 8063            tentsJug       2    0.000244%
 8064            tentsZec       2    0.000244%
 8065           fiftynine       2    0.000244%
 8066        fiftyfourNeh       2    0.000244%
 8067           fiftyfour       2    0.000244%
 8068         fightingPro       2    0.000244%
 8069            fiftyLuk       2    0.000244%
 8070            fieldsSa       2    0.000244%
 8071              teresh       2    0.000244%
 8072           fieldsJob       2    0.000244%
 8073           fieldsJer       2    0.000244%
 8074           fieldsGen       2    0.000244%
 8075           tertullus       2    0.000244%
 8076            fieldPsm       2    0.000244%
 8077            fieldJer       2    0.000244%
 8078             tensExo       2    0.000244%
 8079           templeJon       2    0.000244%
 8080             fishLuk       2    0.000244%
 8081            firtrees       2    0.000244%
 8082            firstMak       2    0.000244%
 8083            firstJug       2    0.000244%
 8084              tenGen       2    0.000244%
 8085            firstJhn       2    0.000244%
 8086            firstGen       2    0.000244%
 8087            firstAct       2    0.000244%
 8088             thicker       2    0.000244%
 8089              tentCh       2    0.000244%
 8090             fireZec       2    0.000244%
 8091             tentGen       2    0.000244%
 8092             firePro       2    0.000244%
 8093             fireLuk       2    0.000244%
 8094              fireKi       2    0.000244%
 8095             fireHeb       2    0.000244%
 8096         fingerrings       2    0.000244%
 8097            tentpins       2    0.000244%
 8098             timeJug       2    0.000244%
 8099                enan       2    0.000244%
 8100              timeCh       2    0.000244%
 8101               enaim       2    0.000244%
 8102             timeDeu       2    0.000244%
 8103          emeraldRev       2    0.000244%
 8104          emeraldExo       2    0.000244%
 8105            elzaphan       2    0.000244%
 8106             elzabad       2    0.000244%
 8107             eltolad       2    0.000244%
 8108            elpaalCh       2    0.000244%
 8109              endAct       2    0.000244%
 8110                eloi       2    0.000244%
 8111             ellasar       2    0.000244%
 8112             elishua       2    0.000244%
 8113             timeNum       2    0.000244%
 8114             timePsm       2    0.000244%
 8115         elipheletCh       2    0.000244%
 8116          eliphelehu       2    0.000244%
 8117             elijahs       2    0.000244%
 8118           elijahMat       2    0.000244%
 8119              engedi       2    0.000244%
 8120           enshemesh       2    0.000244%
 8121          enrogelJos       2    0.000244%
 8122             enrogel       2    0.000244%
 8123           enoughPsm       2    0.000244%
 8124           enoughNum       2    0.000244%
 8125           enoughJhn       2    0.000244%
 8126           enoughEze       2    0.000244%
 8127         thunderings       2    0.000244%
 8128            engediSa       2    0.000244%
 8129           elijahMak       2    0.000244%
 8130               endor       2    0.000244%
 8131            tiberias       2    0.000244%
 8132            endedJob       2    0.000244%
 8133            endedIsa       2    0.000244%
 8134               tidal       2    0.000244%
 8135               endSa       2    0.000244%
 8136               endKi       2    0.000244%
 8137              tikvah       2    0.000244%
 8138              endJas       2    0.000244%
 8139            eglonJos       2    0.000244%
 8140           eightytwo       2    0.000244%
 8141           eightysix       2    0.000244%
 8142         eightyseven       2    0.000244%
 8143            tirhakah       2    0.000244%
 8144              egypts       2    0.000244%
 8145           tirzahNum       2    0.000244%
 8146            egyptMat       2    0.000244%
 8147            egyptJos       2    0.000244%
 8148            egyptAmo       2    0.000244%
 8149        timnathserah       2    0.000244%
 8150   eglathshelishiyah       2    0.000244%
 8151               eglah       2    0.000244%
 8152                 egg       2    0.000244%
 8153             titusCo       2    0.000244%
 8154          effectedKi       2    0.000244%
 8155         effectedIsa       2    0.000244%
 8156            effectSa       2    0.000244%
 8157           effectIsa       2    0.000244%
 8158           effectGal       2    0.000244%
 8159               eliSa       2    0.000244%
 8160            timesDeu       2    0.000244%
 8161            timesExo       2    0.000244%
 8162             elielCh       2    0.000244%
 8163          eliehoenai       2    0.000244%
 8164            eliathah       2    0.000244%
 8165            timesJer       2    0.000244%
 8166               eliam       2    0.000244%
 8167            timesJob       2    0.000244%
 8168             eliahba       2    0.000244%
 8169          throughEze       2    0.000244%
 8170            timesLuk       2    0.000244%
 8171         electrumEze       2    0.000244%
 8172            timesMat       2    0.000244%
 8173            timesNum       2    0.000244%
 8174               eldad       2    0.000244%
 8175              eldaah       2    0.000244%
 8176            timesRom       2    0.000244%
 8177                 ela       2    0.000244%
 8178             ekronSa       2    0.000244%
 8179           thingsLev       2    0.000244%
 8180        evilmerodach       2    0.000244%
 8181           thingsGen       2    0.000244%
 8182           thingsHeb       2    0.000244%
 8183           thingsJoe       2    0.000244%
 8184         evildoersPe       2    0.000244%
 8185        evildoersIsa       2    0.000244%
 8186         evildoerPsm       2    0.000244%
 8187         evildoerPro       2    0.000244%
 8188              evilTi       2    0.000244%
 8189        evilsmelling       2    0.000244%
 8190             evilNeh       2    0.000244%
 8191             evilMic       2    0.000244%
 8192             evilMat       2    0.000244%
 8193             evilLuk       2    0.000244%
 8194             evilJhn       2    0.000244%
 8195             evilExo       2    0.000244%
 8196                 evi       2    0.000244%
 8197           everyones       2    0.000244%
 8198             everPro       2    0.000244%
 8199             thingCh       2    0.000244%
 8200             ezemJos       2    0.000244%
 8201             ezekiel       2    0.000244%
 8202               ezbon       2    0.000244%
 8203             eyesMat       2    0.000244%
 8204          thievesLuk       2    0.000244%
 8205              eyesKi       2    0.000244%
 8206             eyesJug       2    0.000244%
 8207             eyesJer       2    0.000244%
 8208             eyesIsa       2    0.000244%
 8209        thirtyeighth       2    0.000244%
 8210             thingCo       2    0.000244%
 8211              eyeLuk       2    0.000244%
 8212            thingEze       2    0.000244%
 8213             experts       2    0.000244%
 8214            thingMak       2    0.000244%
 8215             thingPe       2    0.000244%
 8216            thingPsm       2    0.000244%
 8217          exchanging       2    0.000244%
 8218           exampleCo       2    0.000244%
 8219          ephraimite       2    0.000244%
 8220             thisLuk       2    0.000244%
 8221             esthers       2    0.000244%
 8222        thorntreeAct       2    0.000244%
 8223              eshban       2    0.000244%
 8224           eshbaalCh       2    0.000244%
 8225             esauOba       2    0.000244%
 8226         thoughtsPro       2    0.000244%
 8227                 eri       2    0.000244%
 8228         ephraimites       2    0.000244%
 8229               ether       2    0.000244%
 8230          ephraimNum       2    0.000244%
 8231           ephraimKi       2    0.000244%
 8232          ephraimJos       2    0.000244%
 8233          ephraimJer       2    0.000244%
 8234           ephraimCh       2    0.000244%
 8235              ephlal       2    0.000244%
 8236            ephahZec       2    0.000244%
 8237        epaphroditus       2    0.000244%
 8238             envyRom       2    0.000244%
 8239        thirtysecond       2    0.000244%
 8240             everNum       2    0.000244%
 8241             everMak       2    0.000244%
 8242          thirtyfour       2    0.000244%
 8243             everJud       2    0.000244%
 8244             everJos       2    0.000244%
 8245              everJn       2    0.000244%
 8246             everEcc       2    0.000244%
 8247           thirtyone       2    0.000244%
 8248            evenings       2    0.000244%
 8249         clothingJas       2    0.000244%
 8250      thirtysevenExo       2    0.000244%
 8251          eveningAct       2    0.000244%
 8252        euphratesJer       2    0.000244%
 8253        euphratesGen       2    0.000244%
 8254              thisCh       2    0.000244%
 8255             thisDan       2    0.000244%
 8256             thisEst       2    0.000244%
 8257             thisEzr       2    0.000244%
 8258         ethiopiaIsa       2    0.000244%
 8259         writingsAct       2    0.000244%
 8260            wrathIsa       2    0.000244%
 8261           armiesExo       2    0.000244%
 8262           armiesAmo       2    0.000244%
 8263            wrathJug       2    0.000244%
 8264            armbands       2    0.000244%
 8265              armDeu       2    0.000244%
 8266              arkite       2    0.000244%
 8267              arkLev       2    0.000244%
 8268        argumentsJob       2    0.000244%
 8269          writingIsa       2    0.000244%
 8270            wrathEze       2    0.000244%
 8271          writingsCo       2    0.000244%
 8272         writingsLuk       2    0.000244%
 8273              areJob       2    0.000244%
 8274              areJer       2    0.000244%
 8275         writingsRom       2    0.000244%
 8276              areGen       2    0.000244%
 8277               areCo       2    0.000244%
 8278              areAct       2    0.000244%
 8279                 ard       2    0.000244%
 8280           woundedCh       2    0.000244%
 8281            wormwood       2    0.000244%
 8282             asaphCh       2    0.000244%
 8283           worshipCh       2    0.000244%
 8284               asaCh       2    0.000244%
 8285            arvadite       2    0.000244%
 8286               arvad       2    0.000244%
 8287              arumah       2    0.000244%
 8288               worst       2    0.000244%
 8289            arnonNum       2    0.000244%
 8290           archippus       2    0.000244%
 8291          woundedGen       2    0.000244%
 8292              armySa       2    0.000244%
 8293             armyGen       2    0.000244%
 8294              armyCh       2    0.000244%
 8295           woundsLuk       2    0.000244%
 8296              armsSa       2    0.000244%
 8297             armsPsm       2    0.000244%
 8298             wrathCh       2    0.000244%
 8299             armsExo       2    0.000244%
 8300            yearsLev       2    0.000244%
 8301             yearEst       2    0.000244%
 8302              anyExo       2    0.000244%
 8303             yearNum       2    0.000244%
 8304           answerPro       2    0.000244%
 8305           answerMak       2    0.000244%
 8306           answerLuk       2    0.000244%
 8307           answerAct       2    0.000244%
 8308            yearsJos       2    0.000244%
 8309           anotherTi       2    0.000244%
 8310           anyoneMak       2    0.000244%
 8311          anotherIsa       2    0.000244%
 8312            yearsMak       2    0.000244%
 8313            yearsMal       2    0.000244%
 8314            yearsZec       2    0.000244%
 8315            angryPsm       2    0.000244%
 8316            angryNum       2    0.000244%
 8317              yesMat       2    0.000244%
 8318             yokeDeu       2    0.000244%
 8319            angleNeh       2    0.000244%
 8320         apostlesLuk       2    0.000244%
 8321            wrongGal       2    0.000244%
 8322            wrongNum       2    0.000244%
 8323        aramnaharaim       2    0.000244%
 8324         aramaeansSa       2    0.000244%
 8325         aramaeansCh       2    0.000244%
 8326             aramGen       2    0.000244%
 8327              aramCh       2    0.000244%
 8328                arab       2    0.000244%
 8329              appaim       2    0.000244%
 8330          ashdodites       2    0.000244%
 8331          apostlesCo       2    0.000244%
 8332       wrongdoingPro       2    0.000244%
 8333       wrongdoingPsm       2    0.000244%
 8334       wrongdoingRom       2    0.000244%
 8335         wrongdoings       2    0.000244%
 8336       apharsachites       2    0.000244%
 8337              yahweh       2    0.000244%
 8338         anythingJhn       2    0.000244%
 8339         anythingJer       2    0.000244%
 8340             wordMak       2    0.000244%
 8341         woolcutters       2    0.000244%
 8342               baana       2    0.000244%
 8343          baalzephon       2    0.000244%
 8344            baalsJug       2    0.000244%
 8345         baalperazim       2    0.000244%
 8346            baalmeon       2    0.000244%
 8347             wordHeb       2    0.000244%
 8348          baalhermon       2    0.000244%
 8349          baalberith       2    0.000244%
 8350             wordLuk       2    0.000244%
 8351               babel       2    0.000244%
 8352             baalath       2    0.000244%
 8353               azzur       2    0.000244%
 8354              azriel       2    0.000244%
 8355               azmon       2    0.000244%
 8356             wordsCh       2    0.000244%
 8357              azelCh       2    0.000244%
 8358            wordsDan       2    0.000244%
 8359          azariahDan       2    0.000244%
 8360            wordsGen       2    0.000244%
 8361            woodsEze       2    0.000244%
 8362                ball       2    0.000244%
 8363           balancing       2    0.000244%
 8364             baladan       2    0.000244%
 8365              bakbuk       2    0.000244%
 8366             woodLam       2    0.000244%
 8367              badJer       2    0.000244%
 8368          woodcutter       2    0.000244%
 8369         woodcutting       2    0.000244%
 8370           woodlands       2    0.000244%
 8371            wordsIsa       2    0.000244%
 8372             backMat       2    0.000244%
 8373            woodsIsa       2    0.000244%
 8374             backJug       2    0.000244%
 8375          woodworker       2    0.000244%
 8376             backEzr       2    0.000244%
 8377          babylonZec       2    0.000244%
 8378          babylonIsa       2    0.000244%
 8379          babylonEzr       2    0.000244%
 8380          babylonEze       2    0.000244%
 8381          assyriaHos       2    0.000244%
 8382          workmanExo       2    0.000244%
 8383         attackerLam       2    0.000244%
 8384           workmenCh       2    0.000244%
 8385        atarothaddar       2    0.000244%
 8386                atad       2    0.000244%
 8387            worksEze       2    0.000244%
 8388         astartesJug       2    0.000244%
 8389             astarte       2    0.000244%
 8390          assyriaJer       2    0.000244%
 8391        attentionIsa       2    0.000244%
 8392               assos       2    0.000244%
 8393             assesSa       2    0.000244%
 8394            assesNum       2    0.000244%
 8395             worksTi       2    0.000244%
 8396             worldCo       2    0.000244%
 8397              asriel       2    0.000244%
 8398            worldHeb       2    0.000244%
 8399            worldIsa       2    0.000244%
 8400           asherites       2    0.000244%
 8401             awakeKi       2    0.000244%
 8402             awaySon       2    0.000244%
 8403            wordsMak       2    0.000244%
 8404            wordsMat       2    0.000244%
 8405             awayJug       2    0.000244%
 8406             awayDeu       2    0.000244%
 8407             workAct       2    0.000244%
 8408              awayCh       2    0.000244%
 8409             workDeu       2    0.000244%
 8410             workEcc       2    0.000244%
 8411            angelAct       2    0.000244%
 8412               avvim       2    0.000244%
 8413                aven       2    0.000244%
 8414              workKi       2    0.000244%
 8415        authorityNum       2    0.000244%
 8416        authorityMat       2    0.000244%
 8417        authorityMak       2    0.000244%
 8418        authorityLuk       2    0.000244%
 8419        attentionPro       2    0.000244%
 8420        attentionJer       2    0.000244%
 8421             adahGen       2    0.000244%
 8422         zedekiahJer       2    0.000244%
 8423          zedekiahKi       2    0.000244%
